Ticker,24hour,12hour,8hour,4hour,1hour
AMC,2517,1132,851,273,61
SNDL,230,134,93,24,7
RKT,511,247,227,80,21
GME,9728,5550,4566,1876,426
ATH,115,53,45,22,7
NOK,302,113,95,44,4
CRSR,85,43,41,9,5
NXPI,4,1,1,0,0
F,189,95,83,38,12
GOEV,183,131,124,38,5
UWMC,161,84,76,41,6
VLRS,2,0,0,0,0
AAPL,364,193,160,62,10
AAL,18,5,5,4,2
UI,24,13,13,10,1
LOTZ,3,0,0,0,0
FCEL,34,27,24,8,1
DKNG,45,18,13,6,0
ZNGA,25,9,8,3,0
OGI,13,6,5,1,1
CMD,4,2,1,0,0
AMAT,4,2,2,0,0
PLTR,574,346,295,175,50
RBLX,129,103,101,41,8
VIACA,3,1,1,0,0
BB,347,185,159,58,6
APHA,195,108,92,27,2
TSLA,382,259,228,119,19
SPCE,33,17,13,7,2
PFE,13,5,5,0,0
EBON,13,4,2,1,1
CLF,20,11,11,9,0
BFS,2,0,0,0,0
EOD,248,213,196,115,19
ACH,9,2,2,1,0
BIDU,8,3,3,2,0
NKLA,46,9,8,6,4
RTX,2,0,0,0,0
FB,27,16,14,4,1
NIO,170,84,73,35,15
TLRY,102,67,56,25,1
CMPS,2,0,0,0,0
TER,2,0,0,0,0
BFLY,3,0,0,0,0
VUZI,9,3,3,1,1
ZOM,46,40,23,6,1
CHWY,14,6,4,1,1
SHW,2,0,0,0,0
SFT,2,0,0,0,0
CCIV,46,24,21,7,0
QCOM,7,1,1,0,0
TSM,23,7,7,4,1
KE,4,0,0,0,0
XPEV,19,15,15,3,0
BABA,83,48,39,17,3
MSFT,50,24,24,10,1
GPRO,32,14,14,6,3
MVIS,28,16,10,3,0
MSM,21,9,7,3,1
CNK,27,6,6,6,0
RBC,4,3,3,3,1
WKHS,13,6,5,0,0
BAC,5,1,1,0,0
ZDGE,3,0,0,0,0
BJ,4,1,1,0,0
HRTX,2,0,0,0,0
ABNB,9,7,6,1,0
ISUN,3,1,1,0,0
TGT,3,1,1,0,0
KMPH,86,18,11,3,0
PAVM,2,0,0,0,0
UBER,4,0,0,0,0
QFIN,11,6,6,4,0
WMT,8,5,4,3,0
UUUU,15,9,9,1,0
TRCH,3,1,1,1,0
AMZN,39,18,17,8,1
CRM,8,3,3,1,0
CLSK,5,3,1,0,0
AMRN,2,0,0,0,0
UPST,4,1,1,0,0
FDX,5,1,1,0,0
MMT,2,0,0,0,0
ULTA,3,0,0,0,0
EXPR,9,2,1,1,0
NVAX,8,4,4,0,0
FUTU,2,0,0,0,0
MCD,11,2,2,2,1
POLA,2,0,0,0,0
KOSS,8,4,2,1,0
BFT,7,1,1,0,0
SPG,3,0,0,0,0
PRPL,5,0,0,0,0
NVDA,40,25,21,7,0
INTC,17,10,10,2,0
ADBE,4,2,2,1,0
PYPL,19,15,5,1,1
GOOG,8,4,3,0,0
NAK,7,0,0,0,0
EVFM,3,1,1,1,0
DM,18,10,10,8,2
ASML,4,0,0,0,0
INO,3,1,1,1,0
DOCU,4,0,0,0,0
SEEL,3,1,1,1,0
VIAC,36,23,22,7,2
VFF,20,7,6,0,0
EXPI,7,4,4,0,0
CTXR,3,0,0,0,0
MTCH,2,0,0,0,0
BMBL,5,1,1,1,0
LUMN,5,3,1,1,0
SKLZ,4,0,0,0,0
FSD,6,4,3,2,0
NYT,7,2,1,1,1
DNN,18,1,1,0,0
AMX,2,0,0,0,0
GNOG,15,8,5,1,1
GNE,2,0,0,0,0
