Ticker,4hour
AMC,273
APHA,27
RBLX,41
GME,1876
NOK,44
TSLA,119
SNDL,24
PLTR,175
RKT,80
AAPL,62
BNGO,4
NVDA,7
DVN,1
LMT,3
EOD,115
JMIA,3
GPRO,6
ASO,4
OCGN,4
SPCE,7
BABA,17
CFMS,1
HIMX,1
CHPT,2
GOEV,38
FSLY,1
TEDU,1
MTX,1
AAL,4
UWMC,41
NXP,2
F,38
TSM,4
TWI,1
LUMN,1
TLRY,25
CTO,2
DKNG,6
GMED,1
INTC,2
PPT,1
BB,58
LAZR,2
XOM,10
ATH,22
CNK,6
NIO,35
UI,10
CCIV,7
FSD,2
KMI,2
AVGO,1
CLOV,2
VXRT,1
TCF,1
NNDM,3
DENN,1
UUUU,1
WTI,3
MRO,3
ATXI,1
GSAT,1
FCEL,8
VIAC,7
GSAH,2
NAV,2
AMZN,8
TRCH,1
ACB,2
WFC,3
FAT,4
FSR,1
KAI,1
DM,8
BTBT,2
MGNI,1
QFIN,4
NAKD,2
XPEV,3
RL,1
IVR,1
BIGC,2
BDC,1
CVX,1
AZN,2
MVIS,3
ZOM,6
CCL,3
NRG,1
TXMD,1
CET,1
NKLA,6
HYLN,3
MCD,2
EAF,1
CLF,9
WMT,3
CUZ,2
HBI,1
CRON,1
EHT,1
TIRX,1
ABNB,1
BIDU,2
MSFT,10
CRM,1
FN,1
RBC,3
LUV,1
KMPH,3
HYFM,1
THCB,1
EXPC,1
VOD,1
HEC,1
MMM,1
QS,2
NCLH,1
IBKR,2
WDC,1
INO,1
KOSS,1
EXPR,1
BBBY,1
SPWR,1
TMO,1
CRWD,21
UAVS,2
COP,1
YSG,2
EAD,2
MFM,1
PSA,2
BHC,1
GOOGL,3
HEPA,1
PTVE,1
SEEL,1
ADBE,1
CRSR,9
UBA,1
SU,1
ZNGA,3
MKD,7
MSM,3
PSN,1
GPM,2
AME,1
CHTR,1
ETR,1
VIVO,1
BLNK,1
SBUX,1
LMND,2
SMAR,1
FB,4
BMBL,1
EVFM,1
GMBL,1
SSPK,1
AGFY,1
TW,1
LEE,1
ETSY,1
CLNE,1
RDFN,2
ESTA,1
TRVG,1
ATHA,1
DECK,1
JPM,1
FAM,1
NFLX,1
KODK,3
ACH,1
FNV,1
HPX,1
ADMP,1
KTOS,1
UEC,1
ENPH,4
AFRM,1
NDAQ,1
STNG,1
TGI,1
EOG,1
PYPL,1
EPD,1
WF,1
VLDR,1
WH,1
TTCF,1
CELH,1
SV,1
DMTK,1
VGAC,2
AIO,1
CCS,1
MLP,1
SDC,1
KMX,1
FIF,1
GNOG,1
VUZI,1
GHVI,1
FAII,1
SVAC,1
VACQ,1
NSH,1
CHWY,1
OFC,1
LOGI,1
MDNA,1
CLVS,1
NYT,1
BCRX,1
EBON,1
DRI,1
OGI,1
IMMP,1
ZSAN,1
AXP,1
ETN,1
